epoch,accuracy,loss,val_accuracy,val_loss
0,0.5410867,0.7109188645957669,0.6122082471847534,0.6582053655781909
1,0.60080826,0.6631972983807366,0.6678635478019714,0.6143503376354649
2,0.6376291,0.6335714393043176,0.6786355376243591,0.6063601253704708
3,0.6726538,0.5982553164521086,0.6822262406349182,0.5683114977028468
4,0.70184106,0.5664504730198273,0.7307001948356628,0.5474912980086499
5,0.7049843,0.5621720247060984,0.7037702202796936,0.5416011523515575
6,0.7117198,0.5520437063793993,0.739676833152771,0.5286543831576993
7,0.7444993,0.5124732760179722,0.739676833152771,0.5013316238910976
8,0.75707227,0.5020994853159746,0.7558348178863525,0.49310781797343994
9,0.7759318,0.47426146587342705,0.7863554954528809,0.4720194872127615
10,0.7759318,0.4729326419836746,0.795332133769989,0.4659032758519294
11,0.78491247,0.4539398087692946,0.7773787975311279,0.4635892431226624
12,0.78805566,0.43752048895612766,0.7881507873535156,0.47266078690866165
13,0.792097,0.4326296746195514,0.8150807619094849,0.43636970556402976
14,0.8024248,0.4233345329948857,0.7755835056304932,0.46664833369760156
15,0.79434216,0.41993451961552447,0.8043087720870972,0.442334021871351
16,0.81005836,0.4056775844921485,0.809694766998291,0.4404376085506521
17,0.8082622,0.3972607216173402,0.8061041235923767,0.4407089675243282
18,0.8194881,0.3840044641446575,0.8061041235923767,0.44070258126652645
19,0.8266727,0.36590120866794357,0.8150807619094849,0.44099568288030916
20,0.8203862,0.3795149168413639,0.8114901185035706,0.449869987192017
21,0.8194881,0.37213411421373277,0.8043087720870972,0.46132235247742126
22,0.8203862,0.36688466986359425,0.780969500541687,0.47583183549892966
23,0.8203862,0.3770873346803003,0.809694766998291,0.45794781732173967
24,0.831163,0.37147902361095136,0.8078994750976562,0.4404892569384412
25,0.82801974,0.36037306219245696,0.8078994750976562,0.4505461296016481
26,0.8387966,0.3594941174871567,0.809694766998291,0.4390557106564246
27,0.8302649,0.35611800847430375,0.8114901185035706,0.4343993986958447
28,0.8302649,0.3565528728151514,0.8043087720870972,0.4339357176845763
29,0.8387966,0.34931656145492795,0.818671464920044,0.4503065542429953
30,0.8271217,0.3542497173038683,0.8150807619094849,0.44173188381820006
31,0.8387966,0.33866024915284515,0.8168761134147644,0.4562344714811931
32,0.83430624,0.34502454074605676,0.8061041235923767,0.41581726507609795
33,0.8378985,0.3409527991590984,0.8204667568206787,0.4319211822437855
34,0.8329591,0.35597973127883276,0.8168761134147644,0.4205098991120097
35,0.8414908,0.3391470282828267,0.8150807619094849,0.45209120955030624
36,0.83565336,0.327372349855554,0.8240574598312378,0.4642888112812967
37,0.85406375,0.32379154854951336,0.795332133769989,0.4649841969488339
38,0.8374495,0.34110894265279784,0.8025134801864624,0.490765104280982
39,0.8419398,0.32307801231387273,0.8061041235923767,0.5047147847591653
40,0.8482263,0.32835406158663094,0.8114901185035706,0.47727780817227045
41,0.8396947,0.3270022591160293,0.8114901185035706,0.4776094346114934
42,0.8504715,0.31806962167301356,0.8132854700088501,0.47483553257193983
43,0.8414908,0.32470883928878347,0.8007181286811829,0.48026807175504455
44,0.84732825,0.3205747131440583,0.809694766998291,0.46471819201320463
45,0.843736,0.3192829360301365,0.818671464920044,0.4441595066813635
46,0.8482263,0.3258939379659746,0.8204667568206787,0.44962089312140774
47,0.84059274,0.31813752872022105,0.8240574598312378,0.4638977263731417
48,0.85002244,0.3197165835208833,0.8150807619094849,0.4731604830366919
49,0.8387966,0.3335721318262492,0.8114901185035706,0.4560498036644831
df: dataset_integer_big
test loss:0.45604977011680603
test accuracy:0.8114901185035706
False positive rate(FP): 0.2517985611510791
False negative rate(FN): 0.12544802867383512
Recall: 0.8745519713261649
Precision: 0.7770700636942676
F1 score: 0.8229342327150084
-------------------------------
0,0.53749436,0.7238856101978184,0.5475763082504272,0.6729151049036954
1,0.59676695,0.6676560796907679,0.6409335732460022,0.6225482475821805
2,0.6394252,0.633228019983928,0.7127468585968018,0.5916599574594138
3,0.6681635,0.5994053000444567,0.7432674765586853,0.5516166263251587
4,0.6897171,0.5822998665350138,0.7307001948356628,0.5419594896973998
5,0.70229006,0.5664404223170793,0.7701975107192993,0.5113580363871165
6,0.7341715,0.5343472139151256,0.7773787975311279,0.47857194143737025
7,0.7467445,0.5053888367171988,0.7935367822647095,0.4843432045068518
8,0.7193534,0.5342578146026228,0.7791741490364075,0.4789679752432037
9,0.7611136,0.4914140823607922,0.7719928026199341,0.4899827962075787
10,0.76560396,0.47758299077526034,0.7845601439476013,0.4765807650247639
11,0.7822182,0.4566104573469072,0.7971274852752686,0.44680756603365956
12,0.7974854,0.44416976495607047,0.8150807619094849,0.4517394029259468
13,0.792097,0.4293473168478239,0.809694766998291,0.4353941843796461
14,0.80287385,0.41382909913099447,0.8168761134147644,0.42158599623229814
15,0.80107766,0.41245586049358673,0.8294434547424316,0.4190168800217031
16,0.80960935,0.40565205124873027,0.809694766998291,0.43453896666343594
17,0.80107766,0.4063505176396235,0.8007181286811829,0.41780197845113126
18,0.8082622,0.4016456618055293,0.8150807619094849,0.3944005863456795
19,0.8087113,0.40488211583759304,0.8007181286811829,0.41100944319148036
20,0.8199371,0.38276182150540994,0.8222621083259583,0.4023766698486287
21,0.8154468,0.38537981853283837,0.818671464920044,0.4095526942230855
22,0.8302649,0.36928578393578154,0.8114901185035706,0.40385960858428926
23,0.8244275,0.37298069223192815,0.8258528113365173,0.39750026811175115
24,0.82801974,0.37135374620991757,0.833034098148346,0.3842137282583829
25,0.81859004,0.3755514823004008,0.8348294496536255,0.39519894197984484
